avgTricks,S_TotalPoints,W_TotalPoints,N_TotalPoints,E_TotalPoints,S_unprot,W_unprot,N_unprot,E_unprot,S_pos,W_pos,N_pos,E_pos,S_Len_Trump,W_Len_Trump,N_Len_Trump,E_Len_Trump,S_Ace_Rat,W_Ace_Rat,N_Ace_Rat,E_Ace_Rat,trump
9,1,1,3,1,,J,Q,JJ,FALSE,TRUE,TRUE,FALSE,4,3,3,3,0,0,0,1,S
7,1,1,3,1,,J,Q,JJ,FALSE,TRUE,TRUE,FALSE,4,6,1,2,0,0,0,1,H
13,0,3,1,2,,,Q,J,TRUE,FALSE,TRUE,FALSE,2,7,2,2,0,0,0,0,C
7,0,2,2,1,J,J,,,TRUE,TRUE,FALSE,FALSE,5,2,2,4,0,0,1,0,C
8,0,1,2,1,J,J,,,TRUE,TRUE,FALSE,FALSE,2,2,4,5,0,0,1,0,S
9,1,3,1,2,JJ,J,Q,,TRUE,FALSE,TRUE,FALSE,0,6,5,2,0,0,0,0,H
9,1,1,2,2,J,,,,FALSE,TRUE,TRUE,TRUE,4,4,0,5,0,0,0,0,H
10,1,1,3,0,QJ,Q,Q,,TRUE,TRUE,FALSE,FALSE,4,2,4,3,0,0,0,0,H
12,0,2,2,2,JJ,,QQ,,TRUE,TRUE,TRUE,FALSE,3,4,1,5,0,0,0,0,D
10,1,1,2,1,Q,J,,,FALSE,TRUE,TRUE,TRUE,3,2,7,1,0,0,0,0,D
8,1,2,1,1,QJ,,Q,J,TRUE,FALSE,TRUE,TRUE,2,3,4,4,0,0,0,1,H
12,2,0,2,1,J,J,,Q,FALSE,TRUE,FALSE,TRUE,2,2,6,3,0,1,0,0,H
11,3,0,1,1,,J,J,,FALSE,FALSE,FALSE,TRUE,3,2,6,2,0,0,0,0,S
12,0,3,2,1,JQ,QQ,J,,TRUE,TRUE,FALSE,FALSE,3,8,1,1,0,0,0,0,H
10,1,0,1,3,,J,J,,FALSE,TRUE,TRUE,FALSE,2,2,3,6,0,0,0,0,S
11,2,3,0,2,,,,,TRUE,FALSE,TRUE,TRUE,2,4,3,4,0,0,1,0,H
11,1,1,1,3,K,J,,,TRUE,FALSE,TRUE,FALSE,2,5,2,4,0,0,1,0,H
11,0,2,2,2,J,,,,TRUE,TRUE,TRUE,FALSE,3,5,1,4,0,0,0,0,C
11,2,1,2,1,J,JJ,J,,FALSE,TRUE,FALSE,TRUE,4,2,5,2,0,0,0,0,H
11,1,2,1,2,,,Q,J,TRUE,FALSE,TRUE,FALSE,3,4,2,4,0,0,0,0,H
8,0,0,2,3,J,,,,FALSE,TRUE,TRUE,FALSE,3,1,5,4,0,0,0,0,S
7,2,1,1,2,J,,,,FALSE,FALSE,TRUE,TRUE,5,3,2,3,0,0,0,0,S
